1,68
2,79
3,80
4,
5,61
6,22
7,97
8,42
9,92
10,14
11,69
12,67
13,81
14,
15,45
16,54
17,
18,16
19,87
20,98
21,5
22,15
23,13
24,93
25,31
26,49
27,85
28,92
29,89
30,41
31,55
32,21
33,82
34,54
35,95
36,99
37,50
38,52
39,12
40,48
41,97
42,96
43,76
44,26
45,25
46,50
47,28
48,74
49,45
50,72
51,8
52,91
53,32
54,80
55,58
56,7
57,67
58,25
59,7
60,12
61,93
62,52
63,
64,
65,94
66,15
67,73
68,55
69,74
70,30
71,53
72,13
73,10
74,23
75,33
76,36
77,
78,37
79,32
80,22
81,43
82,42
83,16
84,59
85,12
86,12
87,64
88,90
89,
90,86
91,18
92,7
93,29
94,90
95,36
96,38
97,69
98,24
99,70
100,97
101,14
102,50
103,63
104,29
105,21
106,30
107,23
108,20
109,38
110,62
111,67
112,15
113,34
114,20
115,6
116,
117,16
118,58
119,9
120,47
121,21
122,19
123,46
124,50
125,
126,95
127,16
128,33
129,54
130,53
131,37
132,59
133,75
134,7
135,93
136,57
137,35
138,
139,70
140,91
141,65
142,52
143,14
144,88
145,66
146,37
147,42
148,10
149,84
150,84
151,14
152,13
153,66
154,18
155,63
156,49
157,90
158,98
159,20
160,10
161,17
162,54
163,96
164,22
165,64
166,12
167,
168,19
169,84
170,94
171,53
172,13
173,40
174,27
175,42
176,6
177,82
178,90
179,9
180,70
181,100
182,30
183,46
184,5
185,15
186,71
187,37
188,70
189,14
190,10
191,31
192,8
193,18
194,57
195,22
196,97
197,66
198,
199,88
200,15
201,79
202,7
203,79
204,47
205,54
206,35
207,40
208,8
209,22
210,5
211,87
212,38
213,28
214,81
215,33
216,91
217,14
218,52
219,14
220,60
221,41
222,36
223,58
224,47
225,87
226,26
227,16
228,27
229,14
230,25
231,74
232,37
233,60
234,56
235,17
236,7
237,58
238,36
239,90
240,78
241,
242,27
243,49
244,60
245,38
246,60
247,15
248,11
249,42
250,8
251,5
252,99
253,
254,20
255,75
256,31
257,48
258,24
259,79
260,98
261,5
262,31
263,23
264,61
265,28
266,56
267,97
268,22
269,91
270,10
271,24
272,34
273,39
274,9
275,17
276,72
277,49
278,70
279,13
280,65
281,31
282,26
283,6
284,51
285,98
286,61
287,92
288,92
289,89
290,62
291,29
292,36
293,36
294,41
295,68
296,76
297,19
298,82
299,26
300,51
301,85
302,87
303,53
304,64
305,73
306,45
307,74
308,52
309,99
310,77
311,68
312,96
313,51
314,61
315,18
316,29
317,19
318,39
319,68
320,98
321,91
322,95
323,28
324,93
325,
326,34
327,84
328,59
329,10
330,83
331,58
332,99
333,9
334,100
335,73
336,49
337,78
338,53
339,8
340,11
341,14
342,74
343,76
344,27
345,94
346,37
347,44
348,41
349,89
350,94
351,58
352,
353,54
354,81
355,27
356,25
357,97
358,43
359,22
360,94
361,48
362,50
363,72
364,89
365,36
366,47
367,75
368,52
369,61
370,20
371,57
372,57
373,8
374,67
375,62
376,89
377,23
378,36
379,92
380,9
381,14
382,25
383,30
384,31
385,85
386,98
387,45
388,88
389,69
390,10
391,92
392,
393,33
394,24
395,99
396,60
397,52
398,52
399,7
400,
401,33
402,15
403,26
404,27
405,31
406,39
407,45
408,49
409,74
410,6
411,42
412,59
413,89
414,43
415,17
416,86
417,33
418,20
419,20
420,70
421,90
422,97
423,17
424,42
425,31
426,52
427,37
428,53
429,72
430,11
431,60
432,
433,72
434,17
435,53
436,67
437,13
438,99
